headline_year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
africa,1,0,0,0,1,12,8,0,1,4,8,1,0,0,0,6,1,0,0,4,1,4,1,2,1,1,1,2,0,0,1,1,0,0,2,0,0,2,1,1,3,0,1,1,1,1,0,1,0,0,0,0,0,1,1
african,2,0,0,0,2,4,3,1,1,5,3,1,0,0,2,0,4,1,0,2,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0
africans,2,0,0,1,1,1,2,1,0,1,2,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
age,2,0,0,0,2,5,0,3,1,1,0,4,1,0,1,2,1,1,0,2,0,1,1,4,0,7,4,2,2,7,2,4,3,3,4,4,0,3,4,2,5,2,3,1,1,3,0,1,1,0,0,1,5,1,2
aged,0,2,3,0,0,3,1,1,0,2,2,1,1,0,2,1,0,2,1,0,0,1,0,1,1,1,1,5,1,3,3,1,1,2,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0
agency,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,2,2,0,0,0,0,0,1
agenda,1,1,0,0,0,0,0,1,1,3,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,4,1,0,0,2,0,0,2,3,2,0,1,0,0,2,2,0,0,0,0,0,2
agent,1,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1
agents,1,1,1,1,0,0,0,0,1,0,2,2,2,4,0,1,1,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,2,0,0,3
aggression,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ago,0,0,0,1,2,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,1,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
agony,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,2,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
agree,2,8,1,1,1,1,2,0,2,1,4,2,3,4,4,2,2,2,0,1,2,2,0,1,2,0,3,0,3,0,3,4,5,2,4,6,1,2,6,2,4,0,1,0,1,1,0,1,0,1,0,1,0,0,2
agreement,1,6,2,2,4,1,3,2,7,2,0,1,1,1,2,3,0,2,4,1,0,1,0,0,0,0,3,1,1,0,0,0,1,0,1,2,0,0,0,1,3,2,0,0,0,2,1,1,0,0,0,0,2,0,0
agrees,1,3,1,1,2,1,3,4,2,4,2,4,2,7,1,3,3,0,4,1,0,0,0,0,1,2,2,2,2,3,1,2,2,2,2,1,2,1,0,1,2,1,0,0,1,0,2,0,0,1,0,1,0,1,2
aground,0,0,1,1,0,1,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ah,2,0,1,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,3,1,3,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ahead,3,3,2,2,6,7,4,5,6,4,6,1,5,3,2,4,6,3,5,6,1,3,3,7,4,0,8,13,10,8,8,6,5,5,1,4,1,2,4,5,3,4,1,3,2,2,4,5,7,8,3,4,9,6,11
aid,19,19,9,16,12,9,15,14,17,25,25,21,24,24,15,28,10,4,13,20,10,12,6,3,8,10,7,11,9,2,8,4,5,4,6,5,4,3,4,1,3,5,0,3,1,0,4,2,4,2,8,2,2,6,3
aide,0,0,1,0,1,0,1,0,0,0,0,0,0,2,4,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3
aids,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,16,6,15,6,6,3,6,7,3,0,0,1,0,0,0,2,0,0,0,3,5,3,1,2,1
ailing,0,0,2,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
aim,1,4,1,0,2,2,3,3,1,2,2,3,3,1,3,2,1,0,0,0,1,1,0,3,2,1,2,0,1,0,2,0,0,3,3,0,1,1,0,0,2,2,1,0,0,2,1,1,1,0,0,1,1,0,1
aims,2,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,1,2,1,1,1,1,2,4,1,1,0,2,4,1,1,0,1,0,1,1,0,0,0,0,2,0,1
air,24,33,24,25,15,13,16,12,15,24,12,14,17,22,19,27,21,16,4,15,8,16,11,7,14,19,10,8,7,7,3,6,10,5,5,6,3,9,3,7,1,2,4,2,4,4,2,3,4,8,8,4,4,2,3
aircraft,0,2,0,2,3,0,1,0,0,2,0,0,0,2,1,2,0,0,1,0,0,2,1,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
airlift,1,3,1,1,1,0,1,1,1,0,1,0,0,0,2,3,1,0,0,1,6,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
airline,1,2,0,0,1,0,0,1,2,2,0,2,0,0,4,3,2,1,2,4,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,1,0
airliner,2,2,0,1,2,0,0,5,2,1,1,2,3,3,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
airlines,0,0,1,0,0,0,0,0,0,1,1,0,1,2,1,1,1,3,2,1,2,0,0,1,1,1,1,2,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
