"year","name","value"
1995,"week",1.72396030083451
1995,"months",1.7170919331021
1995,"group",1.67588172670765
1995,"Open",1.67473699875225
1995,"market",1.65985553533203
1995,"ST",1.62207951280378
1995,"Asia",1.60376386551736
1995,"Times",1.60147440960656
1995,"help",1.57629039458773
1995,"Of",1.56026420321211
1995,"business",1.54881692365809
1995,"made",1.54652746774729
1995,"Sunday",1.53851437205948
1995,"company",1.50188307748664
1995,"TOP",1.50188307748664
1995,"take",1.49959362157583
1995,"make",1.48929106997722
1995,"day",1.48242270224481
1995,"Lim",1.46754123882459
1995,"says",1.46525178291379
1995,"Dr",1.45609395927058
1995,"man",1.45494923131518
1995,"get",1.44922559153817
1995,"world",1.44350195176116
1995,"Road",1.44350195176116
1995,"work",1.43434412811795
1995,"Malaysian",1.43090994425175
1995,"reported",1.42289684856394
1995,"family",1.42175212060854
1995,"home",1.41831793674233
1995,"IN",1.41373902492073
1995,"SINGAPORE",1.3896997378573
1995,"foreign",1.37023936261547
1995,"Ml",1.36451572283847
1995,"Memoriam",1.35764735510606
1995,"Hongkong",1.35077898737365
1995,"government",1.34162116373044
1995,"top",1.33933170781964
1995,"Malaysia",1.28896367778198
1995,"World",1.28324003800497
1995,"Association",1.28209531004957
1995,"United",1.27408221436176
1995,"good",1.26606911867395
1995,"Japanese",1.25233238320913
1995,"found",1.25004292729833
1995,"On",1.24546401547672
1995,"today",1.24317455956592
1995,"way",1.23630619183351
1995,"Singapores",1.23172728001191
1995,"International",1.2294378241011
1995,"many",1.2282930961457
1995,"Acknowledgements",1.2271483681903
1995,"team",1.19738544134986
1995,"Vol",1.19051707361745
1995,"police",1.18822761770665
1995,"public",1.18593816179585
1995,"Asian",1.18021452201884
1995,"students",1.17906979406344
1995,"shares",1.17678033815264
1995,"reports",1.17334615428643
1995,"part",1.16876724246483
1995,"Ltd",1.16533305859862
1995,"Prime",1.15503050700001
1995,"held",1.1481621392676
1995,"May",1.1481621392676
1995,"second",1.1447279554014
1995,"night",1.13099121993658
1995,"Saturday",1.13099121993658
1995,"dollar",1.12755703607038
1995,"Friday",1.11839921242717
1995,"service",1.09092574149753
1995,"national",1.07833373398812
1995,"Wong",1.07604427807731
1995,"go",1.07604427807731
1995,"All",1.07261009421111
1995,"Australian",1.0645969985233
1995,"Bank",1.0623075426125
1995,"six",1.0611628146571
1995,"Straits",1.05772863079089
1995,"report",1.05429444692469
1995,"prices",1.04857080714768
1995,"KUALA",1.04857080714768
1995,"children",1.04742607919228
1995,"Departed",1.04399189532608
1995,"left",1.04399189532608
1995,"Cup",1.04284716737067
1995,"system",1.03826825554907
1995,"LUMPUR",1.03826825554907
1995,"II",1.03826825554907
1995,"Goh",1.01422896848564
1995,"Monday",1.01422896848564
1995,"life",1.00965005666403
1995,"Star",1.00278168893163
1995,"unch",1.00278168893163
1995,"soccer",0.997058049154618
1995,"Chan",0.973018762091189
1995,"former",0.973018762091189
1995,"recent",0.973018762091189
1995,"IT",0.969584578224985
1995,"Correspondent",0.966150394358781
1995,"Ministry",0.965005666403379
1995,"Datuk",0.963860938447978
1995,"President",0.959282026626372
1995,"end",0.955847842760168
1995,"local",0.954703114804767
1995,"win",0.953558386849365
1995,"companies",0.951268930938562
1995,"Thursday",0.950124202983161
1995,"told",0.950124202983161
1995,"called",0.945545291161556
1995,"members",0.938676923429147
1995,"days",0.931808555696739
1995,"director",0.92494018796433
1995,"Oct",0.922650732053528
1995,"low",0.920361276142725
1995,"use",0.920361276142725
1995,"old",0.914637636365718
1995,"IS",0.912348180454915
1995,"Japan",0.911203452499514
1995,"mm",0.8997561729455
1995,"school",0.898611444990098
1995,"unit",0.896321989079295
