"wordCol","yearCol","countCol"
"tons",1955,1
"written",1955,1
"wider",1955,1
"trust",1955,1
"speak",1955,2
"conference",1955,6
"strong",1955,1
"jobless",1955,1
"puts",1955,8
"pleads",1955,1
"union",1955,22
"boestaman",1955,1
"been",1955,3
"ting",1955,1
"submarine",1955,1
"beer",1955,5
"monkey",1955,1
"mean",1955,1
"parents",1955,2
"hitlers",1955,2
"warmth",1955,1
"threw",1955,1
"life",1955,13
"innocent",1955,1
"mushroom",1955,1
"manysplendoured",1955,1
"sunshine",1955,2
"worker",1955,3
"downed",1955,1
"mca",1955,2
"snap",1955,4
"lift",1955,4
"alley",1955,1
"child",1955,3
"catch",1955,2
"worked",1955,1
"fares",1955,2
"mcp",1955,2
"horrors",1955,1
"anothor",1955,1
"daybut",1955,1
"gentle",1955,1
"sammys",1955,1
"organisers",1955,1
"soons",1955,1
"majid",1955,1
"air",1955,24
"aim",1955,1
"ail",1955,2
"melted",1955,1
"motorist",1955,2
"aid",1955,19
"murders",1955,1
"flooding",1955,1
"moan",1955,2
"launched",1955,1
"mistake",1955,3
"veronica",1955,1
"ip",1955,1
"expat",1955,3
"defeated",1955,1
"expenses",1955,1
"ii",1955,3
"throat",1955,1
"cant",1955,5
"straits",1955,3
"experts",1955,2
"reports",1955,1
"march",1955,5
"confident",1955,1
"id",1955,1
"disappear",1955,1
"hone",1955,1
"bottles",1955,1
"deepens",1955,1
"make",1955,14
"gaullists",1955,1
"wound",1955,3
"scooter",1955,1
"rahmas",1955,1
"dean",1955,2
"roland",1955,1
"split",1955,3
"babies",1955,2
"monarch",1955,1
"colonies",1955,1
"rupiah",1955,1
"grows",1955,1
"meets",1955,6
"raid",1955,17
"nil",1955,2
"vvv",1955,2
"blames",1955,1
"misery",1955,1
"tops",1955,1
"rain",1955,7
"hand",1955,7
"seamen",1955,4
"tyson",1955,1
"srinagar",1955,1
"spreads",1955,1
"blamed",1955,1
"thoughts",1955,2
"pupils",1955,2
"balwant",1955,4
"tengkus",1955,8
"kept",1955,3
"emissary",1955,1
"thy",1955,1
"cross",1955,1
"changes",1955,5
"sits",1955,2
"smokes",1955,1
"game",1955,1
"bonny",1955,1
"rome",1955,1
"greatest",1955,1
"detained",1955,4
"mother",1955,11
"hearts",1955,2
"flops",1955,1
"musical",1955,2
"left",1955,25
"snowman",1955,1
"sentence",1955,1
"masons",1955,1
"deadlock",1955,3
"yed",1955,1
"quotes",1955,1
"thanks",1955,4
"victim",1955,3
"facts",1955,3
"yes",1955,15
"viscount",1955,1
"enters",1955,2
"ham",1955,2
"candidate",1955,2
"dearer",1955,1
"salutes",1955,1
"cadets",1955,1
"bodyunearthed",1955,1
"tattoo",1955,1
"macdonald",1955,6
"hay",1955,1
"board",1955,3
"easy",1955,3
"prison",1955,4
"rts",1955,1
"save",1955,7
"hat",1955,2
"expelled",1955,2
"gave",1955,3
"menorah",1955,1
"sailors",1955,3
"elders",1955,1
"breaks",1955,4
"looks",1955,1
"addicts",1955,1
"caps",1955,1
"remons",1955,1
"boxes",1955,1
"boxer",1955,1
"private",1955,1
"rahman",1955,21
"birth",1955,2
"newcastle",1955,1
"govt",1955,19
"shadow",1955,2
"poses",1955,1
"burnt",1955,4
"korean",1955,1
"stylist",1955,1
"afire",1955,1
"martha",1955,1
"gift",1955,7
"nude",1955,3
"hunt",1955,14
"theyre",1955,2
"pavement",1955,1
"cremated",1955,1
"steps",1955,2
"night",1955,8
"security",1955,4
"devils",1955,1
"right",1955,4
"crowd",1955,4
"people",1955,9
"sends",1955,5
"trainees",1955,1
"crown",1955,1
"alice",1955,2
"captive",1955,1
"donald",1955,6
"election",1955,9
"escape",1955,4
"dear",1955,1
"bore",1955,1
"denies",1955,1
"seisure",1955,1
"bialoguski",1955,1
"ice",1955,2
"rhino",1955,1
"violinist",1955,1
"track",1955,1
"honoured",1955,3
"christmas",1955,4
"drink",1955,1
"officer",1955,1
"core",1955,1
"shakes",1955,1
"bold",1955,2
"brawl",1955,4
"burn",1955,3
"blackmail",1955,1
"ikers",1955,1
"firemen",1955,4
"pla",1955,1
"peer",1955,1
"post",1955,8
"horse",1955,2
"plug",1955,1
"visitors",1955,3
"attacks",1955,4
"malaka",1955,1
"newspapers",1955,4
"months",1955,4
"accepts",1955,1
"petrov",1955,1
"rained",1955,1
"lashes",1955,1
"bukit",1955,1
"magazine",1955,2
"misleading",1955,1
"islands",1955,2
"efforts",1955,1
"wayang",1955,2
"marshal",1955,1
"nerve",1955,1
"raised",1955,1
"whats",1955,1
"froze",1955,1
"bata",1955,1
"worst",1955,1
"civil",1955,3
"pays",1955,2
"marshall",1955,79
"honeymoon",1955,1
"obscene",1955,1
"son",1955,12
"pair",1955,1
"sos",1955,1
"raped",1955,2
"spores",1955,2
"old",1955,6
"frightened",1955,2
"parade",1955,4
"east",1955,3
"stump",1955,1
"deal",1955,5
"morfydd",1955,1
"waits",1955,2
"vaccination",1955,1
"lake",1955,1
"support",1955,1
"flying",1955,5
"fight",1955,17
"senate",1955,1
"fought",1955,1
"way",1955,23
"jane",1955,1
"music",1955,1
"probes",1955,1
"war",1955,37
"happy",1955,12
"became",1955,1
"head",1955,3
"washed",1955,1
"form",1955,1
"offer",1955,13
"something",1955,1
"deaf",1955,1
"heal",1955,1
"libel",1955,1
"landing",1955,1
"mysterious",1955,2
"heat",1955,2
"hear",1955,1
"dead",1955,18
"surrender",1955,8
"true",1955,2
"arbitration",1955,1
"duel",1955,2
