"word"	"category"
"Junks"	"business"
"Justice"	"government"
"Kami"	"personplace"
"Kellaway"	"personplace"
"Kennedy"	"personplace"
"Kerr"	"personplace"
"killed"	"events "
"Killer"	"events "
"King"	"government"
"Kinta"	"personplace"
"Kirn"	"personplace"
"Klang"	"personplace"
"know"	"events "
"known"	"events "
"Koala"	"personplace"
"Kong"	"personplace"
"Korea"	"personplace"
"Korean"	"personplace"
"Kosovo"	"personplace"
"Krian"	"personplace"
"Kuala"	"personplace"
"Kuan"	"personplace"
"Kuwait"	"personplace"
"Labour"	"government"
"Ladies"	"events "
"lady"	"events "
"Lady"	"personplace"
"laid"	"events "
"land"	"business"
"large"	"events "
"late"	"events "
"lately"	"events "
"latest"	"events "
"law"	"events "
"lay"	"events "
"lbs"	"business"
"Lch"	"remove"
"lead"	"events "
"leader"	"events "
"leaders"	"government"
"League"	"government"
"league"	"events "
"leaguer"	"events "
"learn"	"events "
"learns"	"events "
"leave"	"events "
"leaves"	"events "
"leaving"	"events "
"Lebanon"	"personplace"
"Lee"	"personplace"
"left"	"events "
"Legislative"	"government"
"letter"	"events "
"Letter"	"events "
"Letters"	"events "
"lias"	"remove"
"Liberian"	"personplace"
"Library"	"personplace"
"lie"	"remove"
"Lieat"	"personplace"
"Lient"	"personplace"
"Lieut"	"personplace"
"lii"	"remove"
"Lim"	"personplace"
"Limerick"	"personplace"
"Limited"	"business"
"lint"	"business"
"list"	"events "
"List"	"events "
"lit"	"remove"
"little"	"events "
"Little"	"personplace"
"Liverpool"	"personplace"
"Lloyd"	"personplace"
"loan"	"business"
"Local"	"events "
"local"	"business"
"Lois"	"personplace"
"London"	"personplace"
"long"	"events "
"loose"	"events "
"lor"	"remove"
"Lord"	"personplace"
"lost"	"events "
"lot"	"events "
"lots"	"business"
"love"	"events "
"Low"	"personplace"
"lower"	"business"
"Ltd"	"business"
"Lumpur"	"personplace"
"Lunatic"	"events "
"lurk"	"events "
"Lyall"	"personplace"
"lying"	"events "
"Mac"	"personplace"
"Macao"	"personplace"
"Mace"	"business"
"Macphail"	"personplace"
"Madras"	"personplace"
"Magistrate"	"government"
"magistrate"	"government"
"Mahathir"	"personplace"
"Mahomed"	"personplace"
"mail"	"events "
"Mail"	"business"
"mails"	"events "
"Mails"	"events "
"Main"	"events "
"Mainly"	"events "
"Major"	"personplace"
"making"	"events "
"Malacca"	"personplace"
"Malaria"	"events "
"Malay"	"government"
"Malaya"	"personplace"
"Malayan"	"personplace"
